,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
375,Ugoofaaru,100,MV,1570055517,71,5.67,73.0,83.02,6.76
376,Fortuna,1,US,1570055518,52,40.6,-124.16,64.4,12.75
377,Port Macquarie,0,AU,1570055518,59,-31.43,152.91,72.0,5.82
378,Jian,4,IN,1570055518,85,25.65,87.89,74.88,5.53
379,Uarini,0,BR,1570055519,94,-2.98,-65.16,78.8,2.24
380,Tevaitoa,55,PF,1570055519,79,-16.78,-151.5,76.82,17.36
381,Sulangan,99,PH,1570055520,74,11.14,123.72,83.43,6.15
382,Fallon,90,US,1570055520,93,46.84,-105.12,37.99,6.93
383,Tommot,98,RU,1570055521,75,58.97,126.27,30.02,9.4
384,Nacala,75,MZ,1570055521,94,-14.56,40.69,77.0,9.17
385,Abha,0,SA,1570055474,63,18.22,42.5,66.2,8.14
386,Labuhan,64,ID,1570055273,93,-2.54,115.51,70.87,1.59
387,Anadyr,20,RU,1570055522,58,64.73,177.51,32.0,20.13
388,Filingue,61,NE,1570055522,48,14.35,3.32,83.99,7.47
389,Arraias,0,BR,1570055523,25,-12.93,-46.94,82.49,4.29
390,Tadine,94,NC,1570055523,73,-21.55,167.88,68.18,23.31
391,Damaturu,56,NG,1570055523,61,11.75,11.96,80.6,15.03
392,Roald,75,NO,1570055255,76,62.58,6.12,48.2,11.41
393,Bealanana,100,MG,1570055524,89,-14.54,48.75,59.27,5.46
394,Honningsvag,99,NO,1570055524,67,70.98,25.97,38.61,12.21
395,Nogliki,94,RU,1570055525,64,51.8,143.14,40.86,16.24
396,Chapada dos Guimaraes,0,BR,1570055525,48,-15.46,-55.75,86.0,3.04
397,Unai,0,BR,1570055412,36,-16.36,-46.91,76.36,3.0
398,Kieta,84,PG,1570055525,88,-6.22,155.63,78.05,8.63
399,Pasighat,28,IN,1570055526,97,28.06,95.33,63.95,2.91
400,Benghazi,0,LY,1570055526,46,32.12,20.07,76.93,8.97
401,Waitara,92,NZ,1570055526,79,-39.0,174.24,46.99,4.0
402,Camden,1,US,1570055527,45,39.94,-75.12,91.0,8.05
403,Karatuzskoye,0,RU,1570055527,78,53.61,92.87,29.93,2.68
404,Jucas,26,BR,1570055528,53,-6.53,-39.53,75.47,2.42
405,Valparaiso,90,US,1570055528,100,41.47,-87.06,69.8,9.17
406,San Quintin,68,PH,1570055528,81,17.54,120.52,78.57,2.53
407,Antofagasta,90,CL,1570055529,76,-23.65,-70.4,57.2,18.34
408,Elko,1,US,1570055522,28,40.83,-115.76,57.2,3.36
409,Izhma,89,RU,1570055529,90,65.01,53.91,39.56,5.95
410,Bambanglipuro,99,ID,1570055530,89,-7.95,110.28,75.49,4.9
411,Paamiut,76,GL,1570055530,67,61.99,-49.67,44.14,4.97
412,Genhe,94,CN,1570055530,63,50.78,121.52,32.22,4.29
413,Teknaf,29,BD,1570055531,84,20.86,92.31,80.59,14.2
414,Narsaq,75,GL,1570055531,32,60.91,-46.05,53.6,34.45
415,Marti,75,CU,1570055531,83,21.15,-77.45,78.8,13.87
416,Kenitra,20,MA,1570055532,93,34.26,-6.57,66.0,3.36
417,Lodja,100,CD,1570055532,96,-3.52,23.6,68.94,1.57
418,Riyadh,0,SA,1570055417,30,24.63,46.72,82.4,2.24
419,Wuan,0,CN,1570055533,41,31.68,112.0,76.66,3.04
420,Beyneu,96,KZ,1570055534,44,45.32,55.19,59.27,13.8
421,Hay River,40,CA,1570055534,32,60.82,-115.79,66.2,8.05
422,Arequipa,75,PE,1570055534,44,-16.4,-71.54,60.8,4.7
423,Spencer,90,US,1570055535,100,42.24,-71.99,64.99,9.17
424,Lahat,70,ID,1570055535,70,-3.78,103.55,70.04,2.35
425,Boguchany,100,RU,1570055535,96,58.38,97.46,37.08,6.33
426,Khani,0,GE,1570055536,40,41.96,42.96,73.4,23.04
427,Nikel,75,NO,1570055536,80,69.41,30.21,35.6,17.22
428,Sidi Ali,35,DZ,1570055536,67,36.1,0.42,73.62,1.14
429,Jiazi,0,CN,1570055537,94,19.61,110.49,75.2,4.47
430,Tougue,100,GN,1570055537,96,11.45,-11.68,67.81,2.35
431,Mount Gambier,90,AU,1570055390,100,-37.83,140.78,53.6,11.41
432,Kamaishi,89,JP,1570055538,53,39.28,141.86,67.46,4.27
433,Goulburn,0,AU,1570055538,64,-34.75,149.72,61.0,12.12
434,Gibara,90,CU,1570055538,94,21.11,-76.13,75.2,17.22
435,Luanda,75,AO,1570055539,88,-8.83,13.24,75.2,11.41
436,Hearst,49,CA,1570055539,86,49.69,-83.67,32.29,3.69
437,Gazanjyk,10,TM,1570055539,20,39.24,55.52,59.06,8.97
438,Spearfish,90,US,1570055465,100,44.49,-103.86,45.0,5.82
439,Brae,53,GB,1570055540,87,60.4,-1.35,48.2,11.41
440,Byron Bay,0,AU,1570055540,68,-28.65,153.62,71.01,5.82
441,Senanga,100,ZM,1570055540,26,-16.1,23.3,64.04,6.13
442,Plattsburgh,90,US,1570055252,66,44.69,-73.46,51.8,10.29
443,Phangnga,20,TH,1570055541,88,8.45,98.53,75.2,2.24
444,The Valley,20,AI,1570055541,74,18.22,-63.06,84.2,11.41
445,Kidal,11,ML,1570055541,45,18.44,1.41,85.19,10.98
446,Shimoda,41,JP,1570055542,64,34.7,138.93,75.99,2.86
447,Karratha,0,AU,1570055542,17,-20.74,116.85,90.54,9.28
448,Aksehir,19,TR,1570055542,71,38.36,31.42,55.12,4.74
449,Borogontsy,82,RU,1570055543,65,62.67,131.17,26.46,9.4
450,Durban,97,CA,1570055543,78,51.93,-101.44,41.11,2.1
451,Saint-Augustin,40,CA,1570055544,53,45.63,-73.98,51.8,8.05
452,Nhulunbuy,40,AU,1570055544,74,-12.18,136.78,78.8,13.87
453,Ahipara,68,NZ,1570055544,85,-35.17,173.16,59.0,15.97
454,Eisenstadt,75,AT,1570055544,76,47.85,16.52,52.0,19.46
455,Sarab,0,IR,1570055545,36,38.61,44.99,45.92,3.06
456,Rio Gallegos,40,AR,1570055377,43,-51.62,-69.22,50.0,23.04
457,Ulladulla,0,AU,1570055545,40,-35.36,150.48,69.01,8.05
458,Aden,0,YE,1570055546,69,12.79,45.03,84.47,9.73
459,Normandin,75,CA,1570055546,65,48.84,-72.53,41.0,6.93
460,Rognan,0,NO,1570055546,52,67.1,15.4,41.0,19.46
461,Monte Alegre,8,BR,1570055547,56,-2.0,-54.07,84.65,4.27
462,Saint Anthony,40,US,1570055547,49,43.97,-111.68,48.99,12.75
463,Severo-Kurilsk,99,RU,1570055527,96,50.68,156.12,47.92,16.82
464,Havelock,1,US,1570055547,65,34.88,-76.9,84.2,11.41
465,Pakala,92,GM,1570055548,86,13.62,-15.52,77.33,6.49
466,Sandwick,93,GB,1570055328,93,54.57,-2.89,45.0,5.82
467,Gandajika,33,CD,1570055548,81,-6.75,23.95,68.17,2.46
468,Komatsu,90,JP,1570055549,83,36.4,136.45,71.6,1.12
469,Manavgat,20,TR,1570055549,88,36.79,31.44,71.6,3.18
470,Hamilton,90,CA,1570055301,100,43.26,-79.87,59.0,14.99
471,Claremore,1,US,1570055550,52,36.31,-95.62,91.4,11.41
472,Kasongo-Lunda,97,CD,1570055550,95,-6.48,16.82,66.02,1.5
473,Navalcarnero,0,ES,1570055550,51,40.29,-4.01,66.99,3.36
474,Jinchang,93,CN,1570055551,50,38.52,102.19,52.96,6.46
475,Tiznit,6,MA,1570055551,78,29.7,-9.73,70.0,21.3
476,Sol-Iletsk,21,RU,1570055551,58,51.16,55.0,49.59,8.93
477,Dan Khun Thot,13,TH,1570055552,85,15.21,101.77,76.79,1.32
478,Grand Gaube,75,MU,1570055552,94,-20.01,57.66,73.99,12.75
479,Ginir,11,ET,1570055553,91,7.14,40.71,57.26,3.1
480,Krasne,0,UA,1570055553,93,49.91,24.61,53.6,5.5
481,Elizabeth City,1,US,1570055553,58,36.3,-76.22,91.99,9.17
482,Ambilobe,25,MG,1570055554,75,-13.19,49.05,72.59,3.8
483,Manokwari,0,ID,1570055554,67,-0.87,134.08,78.93,4.07
484,Muroto,75,JP,1570055554,83,33.37,134.14,77.0,28.86
485,Cayenne,0,GF,1570055555,78,4.94,-52.33,82.4,9.17
486,Abu Zabad,36,SD,1570055555,68,12.35,29.25,78.25,4.23
487,Yafran,30,LY,1570055555,29,32.06,12.53,75.28,21.23
488,Bulgan,0,MN,1570055556,88,48.81,103.53,19.55,2.57
489,Villa Maria,40,CO,1570055556,82,4.5,-74.09,73.4,11.41
490,Levelland,90,US,1570055556,88,33.59,-102.38,69.8,6.93
491,San Patricio,100,PY,1570055557,95,-26.98,-56.83,67.23,11.97
492,Morro Bay,1,US,1570055557,30,35.37,-120.85,79.0,19.46
493,Waipawa,26,NZ,1570055558,48,-39.94,176.59,52.25,10.85
494,Dawson Creek,1,CA,1570055558,39,55.76,-120.23,64.4,3.36
495,Liku,92,ID,1570055558,72,-0.73,119.89,81.18,8.03
496,Viransehir,0,TR,1570055559,30,37.24,39.76,71.37,9.22
497,Morehead,1,US,1570055559,38,38.18,-83.43,91.4,4.7
498,College,90,US,1570055559,100,64.86,-147.8,37.4,8.05
499,Pescia,0,IT,1570055560,93,43.9,10.69,62.6,5.82
500,Fredonia,75,CO,1570055560,60,5.93,-75.67,75.2,9.17
501,Parana,40,BR,1570055560,70,-7.52,-72.89,84.2,9.17
502,Hauterive,90,CA,1570055560,60,49.18,-68.27,42.8,6.93
503,Aykhal,75,RU,1570055561,100,65.95,111.51,21.2,4.47
504,Hovd,90,NO,1570055561,93,63.83,10.7,48.0,8.05
505,Elk City,75,US,1570055561,48,35.41,-99.4,91.4,12.75
506,Samarai,100,PG,1570055349,92,-10.62,150.67,74.35,5.86
507,Aksu,0,KZ,1570055562,92,52.04,76.93,28.4,2.24
508,Mecca,0,SA,1570055284,68,21.43,39.83,83.24,5.88
509,Atasu,0,KZ,1570055562,35,48.68,71.64,37.44,5.61
510,Dekar,0,BW,1570055350,27,-21.53,21.93,62.02,7.58
511,Deputatskiy,100,RU,1570055563,87,69.3,139.9,21.6,25.34
512,Santa Cruz,0,BR,1570055564,79,-6.22,-36.02,69.86,16.98
513,Lubao,95,CD,1570055564,80,-5.39,25.75,71.59,1.45
514,Monrovia,75,LR,1570055472,94,6.33,-10.8,77.0,7.27
515,Sao Felix do Xingu,82,BR,1570055564,98,-6.64,-51.99,71.06,3.2
516,Peniche,30,PT,1570055565,77,39.36,-9.38,60.8,10.29
517,Palafrugell,75,ES,1570055565,88,41.92,3.16,68.0,3.36
518,Mabaruma,100,GY,1570055566,90,8.2,-59.78,76.0,2.28
519,North Bend,40,US,1570055490,67,43.41,-124.22,62.01,8.05
520,Pisco,0,PE,1570055394,30,-13.71,-76.2,71.6,12.75
521,Plouzane,0,FR,1570055566,93,48.38,-4.62,51.01,2.24
522,Vao,96,EE,1570055567,81,59.1,26.19,44.03,5.99
523,Palmer,90,AU,1570055567,82,-34.85,139.16,60.01,5.82
524,Almaznyy,0,RU,1570055567,82,48.03,40.04,55.4,11.18
525,Lasa,75,CY,1570055568,77,34.92,32.53,71.6,8.05
526,Malanje,87,AO,1570055568,93,-9.54,16.35,65.99,2.84
527,Alytus,100,LT,1570055568,93,54.4,24.05,46.4,3.36
528,Jackville,40,CI,1570055569,88,5.21,-4.42,78.8,5.82
529,Sambava,99,MG,1570055569,93,-14.27,50.17,68.08,3.29
530,Pak Chong,74,TH,1570055569,74,14.71,101.42,77.0,2.26
531,Bismarck,90,US,1570055570,86,46.81,-100.78,39.2,8.05
532,Takoradi,99,GH,1570055570,95,4.89,-1.75,73.82,2.37
533,Sarakhs,0,TM,1570055570,47,36.54,61.16,59.0,2.24
534,Sioux Lookout,75,CA,1570055331,70,50.1,-91.92,42.8,3.36
535,Bonavista,51,CA,1570055571,87,48.65,-53.11,42.01,3.0
536,Boende,38,CD,1570055571,96,-0.28,20.88,70.58,1.63
537,Tual,96,ID,1570055572,82,-5.67,132.75,79.43,8.37
538,Marrakesh,0,MA,1570055572,56,31.63,-7.99,73.4,6.93
539,Poum,0,MK,1570055572,88,41.28,20.71,50.65,1.36
540,Madaripur,3,BD,1570055573,88,23.17,90.2,76.81,1.59
541,Walvis Bay,0,NA,1570055573,93,-22.95,14.51,63.0,8.05
542,Igarka,97,RU,1570055573,98,67.47,86.57,33.32,8.32
543,Socorro,20,US,1570055574,32,31.65,-106.3,82.99,4.09
544,Ndjole,96,GA,1570055574,94,-0.18,10.76,72.97,3.2
